Epoch 0281/2100 | Loss 0.05111 | Score: -6.0 | Epsilon=0.0866 (train=True)
Epoch 0282/2100 | Loss 0.06067 | Score: -7.0 | Epsilon=0.0866 (train=True)
Epoch 0283/2100 | Loss 0.07862 | Score: -4.0 | Epsilon=0.0865 (train=True)
Epoch 0284/2100 | Loss 0.05416 | Score: -6.0 | Epsilon=0.0865 (train=True)
Epoch 0285/2100 | Loss 0.07302 | Score: -6.0 | Epsilon=0.0864 (train=True)
Epoch 0286/2100 | Loss 0.06710 | Score: -6.0 | Epsilon=0.0864 (train=True)
Epoch 0287/2100 | Loss 0.06127 | Score: -8.0 | Epsilon=0.0863 (train=True)
Epoch 0288/2100 | Loss 0.07154 | Score: -8.0 | Epsilon=0.0863 (train=True)
Epoch 0289/2100 | Loss 0.06418 | Score: -5.0 | Epsilon=0.0863 (train=True)
Epoch 0290/2100 | Loss 0.04165 | Score: -8.0 | Epsilon=0.0862 (train=True)
Epoch 0291/2100 | Loss 0.06592 | Score: -7.0 | Epsilon=0.0862 (train=True)
